Sno,Date,Time,State,ConfirmedIndianNational,ConfirmedForeignNational,Cured,Deaths,Confirmed
366,26-03-2020,6:00 PM,Andaman and Nicobar Islands,1,0,0,0,1
393,27-03-2020,10:00 AM,Andaman and Nicobar Islands,1,0,0,0,1
421,28-03-2020,6:00 PM,Andaman and Nicobar Islands,6,0,0,0,6
448,29-03-2020,7:30 PM,Andaman and Nicobar Islands,-,-,0,0,9
475,30-03-2020,9:30 PM,Andaman and Nicobar Islands,-,-,0,0,9
503,31-03-2020,8:30 PM,Andaman and Nicobar Islands,-,-,0,0,10
531,01-04-2020,7:30 PM,Andaman and Nicobar Islands,-,-,0,0,10
560,02-04-2020,6:00 PM,Andaman and Nicobar Islands,-,-,0,0,10
589,03-04-2020,6:00 PM,Andaman and Nicobar Islands,-,-,0,0,10
620,04-04-2020,6:00 PM,Andaman and Nicobar Islands,-,-,0,0,10
650,05-04-2020,6:00 PM,Andaman and Nicobar Islands,-,-,0,0,10
680,06-04-2020,6:00 PM,Andaman and Nicobar Islands,-,-,0,0,10
710,07-04-2020,6:00 PM,Andaman and Nicobar Islands,-,-,0,0,10
741,08-04-2020,5:00 PM,Andaman and Nicobar Islands,-,-,0,0,10
772,09-04-2020,5:00 PM,Andaman and Nicobar Islands,-,-,0,0,11
803,10-04-2020,5:00 PM,Andaman and Nicobar Islands,-,-,0,0,11
834,11-04-2020,5:00 PM,Andaman and Nicobar Islands,-,-,0,0,11
865,12-04-2020,5:00 PM,Andaman and Nicobar Islands,-,-,10,0,11
896,13-04-2020,5:00 PM,Andaman and Nicobar Islands,-,-,10,0,11
928,14-04-2020,5:00 PM,Andaman and Nicobar Islands,-,-,10,0,11
960,15-04-2020,5:00 PM,Andaman and Nicobar Islands,-,-,10,0,11
993,16-04-2020,5:00 PM,Andaman and Nicobar Islands,-,-,10,0,11
1026,17-04-2020,5:00 PM,Andaman and Nicobar Islands,-,-,10,0,11
1059,18-04-2020,5:00 PM,Andaman and Nicobar Islands,-,-,11,0,12
1092,19-04-2020,5:00 PM,Andaman and Nicobar Islands,-,-,11,0,14
1125,20-04-2020,5:00 PM,Andaman and Nicobar Islands,-,-,11,0,15
1158,21-04-2020,5:00 PM,Andaman and Nicobar Islands,-,-,11,0,16
1191,22-04-2020,5:00 PM,Andaman and Nicobar Islands,-,-,11,0,17
1223,23-04-2020,5:00 PM,Andaman and Nicobar Islands,-,-,11,0,18
1255,24-04-2020,5:00 PM,Andaman and Nicobar Islands,-,-,11,0,22
1287,25-04-2020,5:00 PM,Andaman and Nicobar Islands,-,-,11,0,27
1319,26-04-2020,5:00 PM,Andaman and Nicobar Islands,-,-,11,0,33
1351,27-04-2020,5:00 PM,Andaman and Nicobar Islands,-,-,11,0,33
1383,28-04-2020,5:00 PM,Andaman and Nicobar Islands,-,-,11,0,33
1415,29-04-2020,5:00 PM,Andaman and Nicobar Islands,-,-,15,0,33
1447,30-04-2020,5:00 PM,Andaman and Nicobar Islands,-,-,15,0,33
1479,01-05-2020,5:00 PM,Andaman and Nicobar Islands,-,-,16,0,33
1511,02-05-2020,5:00 PM,Andaman and Nicobar Islands,-,-,16,0,33
1543,03-05-2020,5:00 PM,Andaman and Nicobar Islands,-,-,17,0,33
1575,04-05-2020,5:00 PM,Andaman and Nicobar Islands,-,-,32,0,33
1607,05-05-2020,5:00 PM,Andaman and Nicobar Islands,-,-,32,0,33
1639,06-05-2020,8:00 AM,Andaman and Nicobar Islands,-,-,32,0,33
1672,07-05-2020,8:00 AM,Andaman and Nicobar Islands,-,-,32,0,33
1705,08-05-2020,8:00 AM,Andaman and Nicobar Islands,-,-,33,0,33
1738,09-05-2020,8:00 AM,Andaman and Nicobar Islands,-,-,33,0,33
1771,10-05-2020,8:00 AM,Andaman and Nicobar Islands,-,-,33,0,33
1804,11-05-2020,8:00 AM,Andaman and Nicobar Islands,-,-,33,0,33
1837,12-05-2020,8:00 AM,Andaman and Nicobar Islands,-,-,33,0,33
1870,13-05-2020,8:00 AM,Andaman and Nicobar Islands,-,-,33,0,33
1903,14-05-2020,8:00 AM,Andaman and Nicobar Islands,-,-,33,0,33
1936,15-05-2020,8:00 AM,Andaman and Nicobar Islands,-,-,33,0,33
1969,16-05-2020,8:00 AM,Andaman and Nicobar Islands,-,-,33,0,33
2002,17-05-2020,8:00 AM,Andaman and Nicobar Islands,-,-,33,0,33
2035,18-05-2020,8:00 AM,Andaman and Nicobar Islands,-,-,33,0,33
2068,19-05-2020,8:00 AM,Andaman and Nicobar Islands,-,-,33,0,33
2101,20-05-2020,8:00 AM,Andaman and Nicobar Islands,-,-,33,0,33
2135,21-05-2020,8:00 AM,Andaman and Nicobar Islands,-,-,33,0,33
2169,22-05-2020,8:00 AM,Andaman and Nicobar Islands,-,-,33,0,33
2203,23-05-2020,8:00 AM,Andaman and Nicobar Islands,-,-,33,0,33
2237,24-05-2020,8:00 AM,Andaman and Nicobar Islands,-,-,33,0,33
2272,25-05-2020,8:00 AM,Andaman and Nicobar Islands,-,-,33,0,33
2307,26-05-2020,8:00 AM,Andaman and Nicobar Islands,-,-,33,0,33
2343,27-05-2020,8:00 AM,Andaman and Nicobar Islands,-,-,33,0,33
2379,28-05-2020,8:00 AM,Andaman and Nicobar Islands,-,-,33,0,33
2415,29-05-2020,8:00 AM,Andaman and Nicobar Islands,-,-,33,0,33
2451,30-05-2020,8:00 AM,Andaman and Nicobar Islands,-,-,33,0,33
2487,31-05-2020,8:00 AM,Andaman and Nicobar Islands,-,-,33,0,33
2523,01-06-2020,8:00 AM,Andaman and Nicobar Islands,-,-,33,0,33
2559,02-06-2020,8:00 AM,Andaman and Nicobar Islands,-,-,33,0,33
2595,03-06-2020,8:00 AM,Andaman and Nicobar Islands,-,-,33,0,33
2631,04-06-2020,8:00 AM,Andaman and Nicobar Islands,-,-,33,0,33
2667,05-06-2020,8:00 AM,Andaman and Nicobar Islands,-,-,33,0,33
2703,06-06-2020,8:00 AM,Andaman and Nicobar Islands,-,-,33,0,33
2739,07-06-2020,8:00 AM,Andaman and Nicobar Islands,-,-,33,0,33
2775,08-06-2020,8:00 AM,Andaman and Nicobar Islands,-,-,33,0,33
2811,09-06-2020,8:00 AM,Andaman and Nicobar Islands,-,-,33,0,33
2847,10-06-2020,8:00 AM,Andaman and Nicobar Islands,-,-,33,0,33
2883,11-06-2020,8:00 AM,Andaman and Nicobar Islands,-,-,33,0,34
2920,12-06-2020,8:00 AM,Andaman and Nicobar Islands,-,-,33,0,38
2956,13-06-2020,8:00 AM,Andaman and Nicobar Islands,-,-,33,0,38
2992,14-06-2020,8:00 AM,Andaman and Nicobar Islands,-,-,33,0,38
3028,15-06-2020,8:00 AM,Andaman and Nicobar Islands,-,-,33,0,38
3064,16-06-2020,8:00 AM,Andaman and Nicobar Islands,-,-,33,0,41
3100,17-06-2020,8:00 AM,Andaman and Nicobar Islands,-,-,33,0,44
3136,18-06-2020,8:00 AM,Andaman and Nicobar Islands,-,-,33,0,44
3172,19-06-2020,8:00 AM,Andaman and Nicobar Islands,-,-,33,0,44
3208,20-06-2020,8:00 AM,Andaman and Nicobar Islands,-,-,35,0,45
3244,21-06-2020,8:00 AM,Andaman and Nicobar Islands,-,-,36,0,47
3280,22-06-2020,8:00 AM,Andaman and Nicobar Islands,-,-,37,0,48
3316,23-06-2020,8:00 AM,Andaman and Nicobar Islands,-,-,37,0,48
3352,24-06-2020,8:00 AM,Andaman and Nicobar Islands,-,-,40,0,50
3388,25-06-2020,8:00 AM,Andaman and Nicobar Islands,-,-,43,0,56
3424,26-06-2020,8:00 AM,Andaman and Nicobar Islands,-,-,43,0,59
3460,27-06-2020,8:00 AM,Andaman and Nicobar Islands,-,-,43,0,72
3496,28-06-2020,8:00 AM,Andaman and Nicobar Islands,-,-,43,0,72
3532,29-06-2020,8:00 AM,Andaman and Nicobar Islands,-,-,45,0,76
3568,30-06-2020,8:00 AM,Andaman and Nicobar Islands,-,-,46,0,90
3604,01-07-2020,8:00 AM,Andaman and Nicobar Islands,-,-,50,0,97
3640,02-07-2020,8:00 AM,Andaman and Nicobar Islands,-,-,50,0,100
3676,03-07-2020,8:00 AM,Andaman and Nicobar Islands,-,-,51,0,109
3712,04-07-2020,8:00 AM,Andaman and Nicobar Islands,-,-,54,0,116
3748,05-07-2020,8:00 AM,Andaman and Nicobar Islands,-,-,66,0,119
3784,06-07-2020,8:00 AM,Andaman and Nicobar Islands,-,-,72,0,125
3820,07-07-2020,8:00 AM,Andaman and Nicobar Islands,-,-,74,0,141
3856,08-07-2020,8:00 AM,Andaman and Nicobar Islands,-,-,75,0,147
3892,09-07-2020,8:00 AM,Andaman and Nicobar Islands,-,-,77,0,149
3928,10-07-2020,8:00 AM,Andaman and Nicobar Islands,-,-,83,0,151
3964,11-07-2020,8:00 AM,Andaman and Nicobar Islands,-,-,92,0,156
4000,12-07-2020,8:00 AM,Andaman and Nicobar Islands,-,-,93,0,163
4036,13-07-2020,8:00 AM,Andaman and Nicobar Islands,-,-,93,0,163
4072,14-07-2020,8:00 AM,Andaman and Nicobar Islands,-,-,109,0,166
4108,15-07-2020,8:00 AM,Andaman and Nicobar Islands,-,-,109,0,166
4144,16-07-2020,8:00 AM,Andaman and Nicobar Islands,-,-,130,0,176
4180,17-07-2020,8:00 AM,Andaman and Nicobar Islands,-,-,133,0,180
4216,18-07-2020,8:00 AM,Andaman and Nicobar Islands,-,-,142,0,194
4252,19-07-2020,8:00 AM,Andaman and Nicobar Islands,-,-,145,0,198
4287,20-07-2020,8:00 AM,Andaman and Nicobar Islands,-,-,145,0,203
4322,21-07-2020,8:00 AM,Andaman and Nicobar Islands,-,-,152,0,207
4357,22-07-2020,8:00 AM,Andaman and Nicobar Islands,-,-,159,0,212
